Product name,Plan name,Purchase date,Status,Redeem date,Refund date,Transfer date
AgenticFlow,License Tier 4,"May 02, 2025",activated,"July 01, 2025",,
AppSumo Plus Yearly Plan,,"April 08, 2025",unredeemed,,,
Gato GraphQL,Code-based,"March 28, 2025",redeemed,"May 27, 2025",,
Gato GraphQL,Code-based,"March 28, 2025",redeemed,"May 27, 2025",,
Gato GraphQL,Code-based,"March 28, 2025",redeemed,"May 27, 2025",,
Gato GraphQL,Code-based,"March 28, 2025",redeemed,"May 27, 2025",,
Gato GraphQL,Code-based,"March 28, 2025",redeemed,"May 27, 2025",,
Gato GraphQL,Code-based,"March 28, 2025",redeemed,"May 27, 2025",,
ElementsKit - Plus Exclusive,Code-based,"March 09, 2025",redeemed,"May 08, 2025",,
ElementsKit - Plus Exclusive,Code-based,"March 09, 2025",redeemed,"May 08, 2025",,
ElementsKit - Plus Exclusive,Code-based,"March 09, 2025",unredeemed,"May 08, 2025",,
Vadoo AI - Plus Exclusive,License Tier 5,"March 05, 2025",activated,"May 04, 2025",,
NoCode-X,License Tier 3,"March 05, 2025",activated,"May 04, 2025",,
SalesNexus,License Tier 4,"March 02, 2025",activated,"May 01, 2025",,
Subscribr,License Tier 7,"February 28, 2025",activated,"April 29, 2025",,
Polymuse,Code-based,"February 15, 2025",redeemed,"April 16, 2025",,
Polymuse,Code-based,"February 15, 2025",redeemed,"April 16, 2025",,
Polymuse,Code-based,"February 15, 2025",redeemed,"April 16, 2025",,
Polymuse,Code-based,"February 15, 2025",redeemed,"April 16, 2025",,
Polymuse,Code-based,"February 15, 2025",expired,"April 16, 2025",,
Hedy AI,Code-based,"February 09, 2025",expired,"April 10, 2025",,
Krisspy,License Tier 4,"February 07, 2025",activated,"April 08, 2025",,
Krisspy,License Tier 4,"February 07, 2025",activated,"April 08, 2025",,
Krisspy,License Tier 4,"February 06, 2025",activated,"April 07, 2025",,
Roundups,License Tier 3,"February 02, 2025",activated,"April 03, 2025",,
Microthemer,Code-based,"February 02, 2025",redeemed,"April 03, 2025",,
Microthemer,Code-based,"February 02, 2025",redeemed,"April 03, 2025",,
Microthemer,Code-based,"February 02, 2025",redeemed,"April 03, 2025",,
Thoughtly,License Tier 5,"January 31, 2025",activated,"April 01, 2025",,
Viloud,Code-based,"January 27, 2025",redeemed,"March 28, 2025",,
Viloud,Code-based,"January 27, 2025",redeemed,"March 28, 2025",,
Viloud,Code-based,"January 27, 2025",redeemed,"March 28, 2025",,
Viloud,Code-based,"January 27, 2025",redeemed,"March 28, 2025",,
Viloud,Code-based,"January 27, 2025",redeemed,"March 28, 2025",,
Viloud,Code-based,"January 27, 2025",redeemed,"March 28, 2025",,
Viloud,Code-based,"January 27, 2025",redeemed,"March 28, 2025",,
Viloud,Code-based,"January 27, 2025",redeemed,"March 28, 2025",,
Viloud,Code-based,"January 27, 2025",redeemed,"March 28, 2025",,
Viloud,Code-based,"January 27, 2025",redeemed,"March 28, 2025",,
Twidget.io,Code-based,"January 10, 2025",expired,"March 11, 2025",,
Twidget.io,Code-based,"January 10, 2025",expired,"March 11, 2025",,
Twidget.io,Code-based,"January 10, 2025",expired,"March 11, 2025",,
Pickaxe,License Tier 3,"December 27, 2024",activated,"February 25, 2025",,
Brizy Cloud,Code-based,"December 21, 2024",redeemed,"February 19, 2025",,
Brizy Cloud,Code-based,"December 21, 2024",redeemed,"February 19, 2025",,
Brizy Cloud,Code-based,"December 21, 2024",redeemed,"February 19, 2025",,
Brizy Cloud,Code-based,"December 21, 2024",redeemed,"February 19, 2025",,
Brizy Cloud,Code-based,"December 21, 2024",redeemed,"February 19, 2025",,
Brizy Cloud,Code-based,"December 21, 2024",redeemed,"February 19, 2025",,
Brizy Cloud,Code-based,"December 21, 2024",redeemed,"February 19, 2025",,
Brizy Cloud,Code-based,"December 21, 2024",redeemed,"February 19, 2025",,
Brizy Cloud,Code-based,"December 21, 2024",redeemed,"February 19, 2025",,
Brizy Cloud,Code-based,"December 21, 2024",redeemed,"February 19, 2025",,
Cloudshot,Code-based,"December 20, 2024",expired,"February 18, 2025",,
NativeRest,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
NativeRest,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
NativeRest,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
NativeRest,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
NativeRest,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
NativeRest,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
NativeRest,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
NativeRest,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
NativeRest,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
NativeRest,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
Power Formulas: Use ChatGPT & AI in Google Sheets,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
SurFast Video Downloader,Code-based,"December 20, 2024",expired,"February 18, 2025",,
SurFast Video Downloader,Code-based,"December 20, 2024",expired,"February 18, 2025",,
SurFast Video Downloader,Code-based,"December 20, 2024",expired,"February 18, 2025",,
SurFast Video Downloader,Code-based,"December 20, 2024",expired,"February 18, 2025",,
Sinosend,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
Sinosend,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
Sinosend,Code-based,"December 20, 2024",redeemed,"February 18, 2025",,
Meiro,License Tier 4,"December 20, 2024",activated,"February 18, 2025",,
Blue,License Tier 9,"December 17, 2024",activated,"February 15, 2025",,
Ad Alchemy,License Tier 5,"December 15, 2024",activated,"February 13, 2025",,
Triplo AI,License Tier 4,"December 15, 2024",activated,"February 13, 2025",,
OnlyPrompts,Code-based,"December 14, 2024",redeemed,"February 12, 2025",,
OnlyPrompts,Code-based,"December 14, 2024",redeemed,"February 12, 2025",,
OnlyPrompts,Code-based,"December 14, 2024",redeemed,"February 12, 2025",,
Press Ranger,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
Press Ranger,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
Press Ranger,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
Press Ranger,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
Press Ranger,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
Press Ranger,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
Press Ranger,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
Press Ranger,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
Press Ranger,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
Press Ranger,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
Nytro SEO,License Tier 4,"December 05, 2024",activated,"February 03, 2025",,
MarkupGo,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
MarkupGo,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
MarkupGo,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
MarkupGo,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
MarkupGo,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
MarkupGo,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
MarkupGo,Code-based,"December 05, 2024",redeemed,"February 03, 2025",,
Gumlet Video,License Tier 6,"December 02, 2024",activated,"January 31, 2025",,
